格式化站点编号,站点名称,等价站点,线路名称,线路方向,单程序号,经度,纬度,在主城区,可能的下车站点
008_U_02,石桥,"['008_U_01', '008_D_45']",8,上行,2,117.909998,37.564425,False,"['008_U_03', '008_U_04', '008_U_05', '008_U_06', '008_U_07', '008_U_08', '008_U_09', '008_U_10', '008_U_11', '008_U_12', '008_U_13', '008_U_14', '008_U_15', '008_U_16', '008_U_17', '008_U_18', '008_U_19', '008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_03,封王,['008_U_04'],8,上行,3,117.916022,37.569721,False,"['008_U_04', '008_U_05', '008_U_06', '008_U_07', '008_U_08', '008_U_09', '008_U_10', '008_U_11', '008_U_12', '008_U_13', '008_U_14', '008_U_15', '008_U_16', '008_U_17', '008_U_18', '008_U_19', '008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_04,韩豁,['008_U_03'],8,上行,4,117.922271,37.567804,False,"['008_U_05', '008_U_06', '008_U_07', '008_U_08', '008_U_09', '008_U_10', '008_U_11', '008_U_12', '008_U_13', '008_U_14', '008_U_15', '008_U_16', '008_U_17', '008_U_18', '008_U_19', '008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_05,崔家,[],8,上行,5,117.93644,37.568768,False,"['008_U_06', '008_U_07', '008_U_08', '008_U_09', '008_U_10', '008_U_11', '008_U_12', '008_U_13', '008_U_14', '008_U_15', '008_U_16', '008_U_17', '008_U_18', '008_U_19', '008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_06,双刘家,[],8,上行,6,117.949529,37.553986,False,"['008_U_07', '008_U_08', '008_U_09', '008_U_10', '008_U_11', '008_U_12', '008_U_13', '008_U_14', '008_U_15', '008_U_16', '008_U_17', '008_U_18', '008_U_19', '008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_07,张集农商行,"['008_U_08', '008_D_37', '008_D_38', '008_D_39', '037_U_06', '037_D_41', '038_U_08', '038_D_39']",8,上行,7,117.95882,37.543777,False,"['008_U_08', '008_U_09', '008_U_10', '008_U_11', '008_U_12', '008_U_13', '008_U_14', '008_U_15', '008_U_16', '008_U_17', '008_U_18', '008_U_19', '008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_08,张木匠,"['008_U_07', '008_U_09', '008_D_37', '008_D_38', '008_D_39', '037_U_06', '037_D_41', '038_U_08', '038_D_39']",8,上行,8,117.958541,37.541816,False,"['008_U_09', '008_U_10', '008_U_11', '008_U_12', '008_U_13', '008_U_14', '008_U_15', '008_U_16', '008_U_17', '008_U_18', '008_U_19', '008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_09,北段家,"['008_U_08', '008_D_36', '008_D_37']",8,上行,9,117.959529,37.534422,False,"['008_U_10', '008_U_11', '008_U_12', '008_U_13', '008_U_14', '008_U_15', '008_U_16', '008_U_17', '008_U_18', '008_U_19', '008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_10,吴家,"['008_U_11', '008_D_34', '008_D_35', '008_D_36']",8,上行,10,117.961395,37.525542,False,"['008_U_11', '008_U_12', '008_U_13', '008_U_14', '008_U_15', '008_U_16', '008_U_17', '008_U_18', '008_U_19', '008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_11,北尹家,"['008_U_10', '008_D_34', '008_D_35']",8,上行,11,117.962028,37.521815,False,"['008_U_12', '008_U_13', '008_U_14', '008_U_15', '008_U_16', '008_U_17', '008_U_18', '008_U_19', '008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_12,东丁家,"['008_D_33', '008_D_34']",8,上行,12,117.963719,37.513484,False,"['008_U_13', '008_U_14', '008_U_15', '008_U_16', '008_U_17', '008_U_18', '008_U_19', '008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_13,香坊村,"['005_U_35', '005_D_39', '008_U_14', '008_D_31', '008_D_32', '015_U_27', '015_D_30', '019_U_21', '019_D_30']",8,上行,13,117.966211,37.502401,False,"['008_U_14', '008_U_15', '008_U_16', '008_U_17', '008_U_18', '008_U_19', '008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_14,北关,"['005_U_34', '005_U_35', '005_U_36', '005_D_38', '005_D_39', '005_D_40', '008_U_13', '008_U_15', '008_D_30', '008_D_31', '008_D_32', '015_U_26', '015_U_27', '015_U_28', '015_D_29', '015_D_30', '015_D_31', '019_U_20', '019_U_21', '019_U_22', '019_D_29', '019_D_30', '019_D_31']",8,上行,14,117.9668,37.494895,False,"['008_U_15', '008_U_16', '008_U_17', '008_U_18', '008_U_19', '008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_15,秦董姜,"['005_U_35', '005_U_36', '005_D_38', '005_D_39', '008_U_14', '008_D_30', '008_D_31', '015_U_27', '015_U_28', '015_D_29', '015_D_30', '019_U_21', '019_U_22', '019_D_29', '019_D_30']",8,上行,15,117.97386,37.495645,False,"['008_U_16', '008_U_17', '008_U_18', '008_U_19', '008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_16,柳家,"['001_U_01', '001_U_02', '001_U_03', '001_D_38', '001_D_39', '001_D_40', '005_U_37', '005_U_38', '005_U_39', '005_D_35', '005_D_36', '005_D_37', '008_U_17', '008_U_18', '008_D_27', '008_D_28', '008_D_29', '015_U_29', '015_U_30', '015_U_31', '015_D_26', '015_D_27', '015_D_28', '019_U_23', '019_U_24', '019_U_25', '019_D_26', '019_D_27', '019_D_28', '037_U_10', '037_U_11', '037_U_12', '037_D_36', '037_D_37', '038_U_12', '038_U_13', '038_U_14', '038_D_34', '038_D_35']",8,上行,16,117.98317,37.493833,False,"['008_U_17', '008_U_18', '008_U_19', '008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_17,五中队,"['001_U_01', '001_U_02', '001_U_03', '001_U_04', '001_D_37', '001_D_38', '001_D_39', '001_D_40', '005_U_37', '005_U_38', '005_U_39', '005_U_40', '005_D_34', '005_D_35', '005_D_36', '005_D_37', '008_U_16', '008_U_18', '008_U_19', '008_D_26', '008_D_27', '008_D_28', '008_D_29', '015_U_29', '015_U_30', '015_U_31', '015_U_32', '015_D_25', '015_D_26', '015_D_27', '015_D_28', '019_U_23', '019_U_24', '019_U_25', '019_U_26', '019_D_25', '019_D_26', '019_D_27', '019_D_28', '037_U_10', '037_U_11', '037_U_12', '037_U_13', '037_D_35', '037_D_36', '037_D_37', '038_U_12', '038_U_13', '038_U_14', '038_U_15', '038_D_33', '038_D_34', '038_D_35']",8,上行,17,117.982986,37.49055,False,"['008_U_18', '008_U_19', '008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_18,九环,"['001_U_01', '001_U_02', '001_U_03', '001_U_04', '001_D_37', '001_D_38', '001_D_39', '001_D_40', '005_U_37', '005_U_38', '005_U_39', '005_U_40', '005_D_34', '005_D_35', '005_D_36', '005_D_37', '008_U_16', '008_U_17', '008_U_19', '008_D_26', '008_D_27', '008_D_28', '008_D_29', '015_U_29', '015_U_30', '015_U_31', '015_U_32', '015_D_25', '015_D_26', '015_D_27', '015_D_28', '019_U_23', '019_U_24', '019_U_25', '019_U_26', '019_D_25', '019_D_26', '019_D_27', '019_D_28', '037_U_10', '037_U_11', '037_U_12', '037_U_13', '037_D_35', '037_D_36', '037_D_37', '038_U_12', '038_U_13', '038_U_14', '038_U_15', '038_D_33', '038_D_34', '038_D_35']",8,上行,18,117.982902,37.488988,False,"['008_U_19', '008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_19,三元生物,"['001_U_02', '001_U_03', '001_U_04', '001_U_05', '001_D_36', '001_D_37', '001_D_38', '001_D_39', '001_D_40', '005_U_38', '005_U_39', '005_U_40', '005_U_41', '005_D_33', '005_D_34', '005_D_35', '005_D_36', '008_U_17', '008_U_18', '008_U_20', '008_D_25', '008_D_26', '008_D_27', '008_D_28', '015_U_30', '015_U_31', '015_U_32', '015_U_33', '015_D_24', '015_D_25', '015_D_26', '015_D_27', '019_U_24', '019_U_25', '019_U_26', '019_U_27', '019_D_24', '019_D_25', '019_D_26', '019_D_27', '037_U_11', '037_U_12', '037_U_13', '037_U_14', '037_D_34', '037_D_35', '037_D_36', '037_D_37', '038_U_13', '038_U_14', '038_U_15', '038_U_16', '038_D_32', '038_D_33', '038_D_34', '038_D_35']",8,上行,19,117.982716,37.485378,False,"['008_U_20', '008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_20,东关,"['001_U_04', '001_U_05', '001_U_06', '001_U_07', '001_U_08', '001_D_32', '001_D_33', '001_D_34', '001_D_35', '001_D_36', '001_D_37', '001_D_38', '005_U_40', '005_U_41', '005_D_32', '005_D_33', '005_D_34', '005_D_35', '008_U_19', '008_D_24', '008_D_25', '008_D_26', '008_D_27', '015_U_32', '015_U_33', '015_D_23', '015_D_24', '015_D_25', '015_D_26', '019_U_26', '019_U_27', '019_D_23', '019_D_24', '019_D_25', '019_D_26', '037_U_13', '037_U_14', '037_U_15', '037_U_16', '037_D_31', '037_D_32', '037_D_33', '037_D_34', '037_D_35', '037_D_36', '038_U_15', '038_U_16', '038_U_17', '038_U_18', '038_D_30', '038_D_31', '038_D_32', '038_D_33', '038_D_34']",8,上行,20,117.982398,37.479821,False,"['008_U_21', '008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_21,华滨楼,"['001_U_06', '001_U_07', '001_U_08', '001_U_13', '001_U_14', '001_D_26', '001_D_27', '001_D_33', '001_D_34', '001_D_35', '001_D_36', '005_U_42', '005_U_43', '005_D_30', '005_D_31', '005_D_32', '005_D_33', '008_U_22', '008_D_22', '008_D_23', '008_D_24', '008_D_25', '014_U_20', '014_U_21', '014_D_25', '014_D_26', '015_U_34', '015_U_35', '015_D_21', '015_D_22', '015_D_23', '015_D_24', '019_U_28', '019_U_29', '019_D_21', '019_D_22', '019_D_23', '019_D_24', '021_U_23', '021_D_20', '037_U_15', '037_U_16', '037_U_17', '037_U_18', '037_D_29', '037_D_30', '037_D_31', '037_D_32', '037_D_33', '037_D_34', '038_U_17', '038_U_18', '038_U_19', '038_U_20', '038_D_28', '038_D_29', '038_D_30', '038_D_31', '038_D_32']",8,上行,21,117.981946,37.47182,False,"['008_U_22', '008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_22,桐霖阁,"['001_U_06', '001_U_07', '001_U_11', '001_U_12', '001_U_13', '001_U_14', '001_U_15', '001_D_25', '001_D_26', '001_D_27', '001_D_28', '001_D_29', '001_D_33', '001_D_34', '001_D_35', '002_U_11', '002_U_12', '002_U_13', '002_U_14', '002_D_30', '002_D_31', '002_D_32', '002_D_33', '005_U_42', '005_U_43', '005_U_44', '005_D_29', '005_D_30', '005_D_31', '005_D_32', '008_U_21', '008_U_23', '008_D_21', '008_D_22', '008_D_23', '008_D_24', '014_U_20', '014_U_21', '014_U_22', '014_D_24', '014_D_25', '014_D_26', '015_U_34', '015_U_35', '015_U_36', '015_D_20', '015_D_21', '015_D_22', '015_D_23', '019_U_28', '019_U_29', '019_U_30', '019_D_20', '019_D_21', '019_D_22', '019_D_23', '021_U_23', '021_U_24', '021_D_19', '021_D_20', '037_U_15', '037_U_16', '037_U_17', '037_U_18', '037_U_19', '037_U_20', '037_U_21', '037_D_26', '037_D_27', '037_D_28', '037_D_29', '037_D_30', '037_D_31', '037_D_32', '037_D_33', '038_U_17', '038_U_18', '038_U_19', '038_U_20', '038_U_21', '038_U_22', '038_U_23', '038_D_25', '038_D_26', '038_D_27', '038_D_28', '038_D_29', '038_D_30', '038_D_31']",8,上行,22,117.98467,37.466159,False,"['008_U_23', '008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_23,福利院,"['001_U_12', '001_U_13', '001_U_14', '001_U_15', '001_U_16', '001_D_24', '001_D_25', '001_D_26', '001_D_27', '001_D_28', '002_U_11', '002_U_12', '002_U_13', '002_U_14', '002_U_15', '002_D_29', '002_D_30', '002_D_31', '002_D_32', '002_D_33', '005_U_43', '005_U_44', '005_U_45', '005_D_28', '005_D_29', '005_D_30', '008_U_22', '008_U_24', '008_D_20', '008_D_21', '008_D_22', '014_U_20', '014_U_21', '014_U_22', '014_U_23', '014_D_23', '014_D_24', '014_D_25', '015_U_35', '015_U_36', '015_U_37', '015_D_19', '015_D_20', '015_D_21', '019_U_29', '019_U_30', '019_U_31', '019_D_19', '019_D_20', '019_D_21', '021_U_23', '021_U_24', '021_U_25', '021_D_18', '021_D_19', '021_D_20', '037_U_18', '037_U_19', '037_U_20', '037_U_21', '037_U_22', '037_D_25', '037_D_26', '037_D_27', '037_D_28', '037_D_29', '038_U_20', '038_U_21', '038_U_22', '038_U_23', '038_U_24', '038_D_24', '038_D_25', '038_D_26', '038_D_27', '038_D_28']",8,上行,23,117.987463,37.462226,False,"['008_U_24', '008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_24,滨北加油站,"['001_U_15', '001_U_16', '001_U_17', '001_D_23', '001_D_24', '001_D_25', '002_U_13', '002_U_14', '002_U_15', '002_U_16', '002_D_28', '002_D_29', '002_D_30', '002_D_31', '005_U_44', '005_U_45', '005_U_46', '005_D_27', '005_D_28', '005_D_29', '008_U_23', '008_U_25', '008_D_19', '008_D_20', '008_D_21', '014_U_22', '014_U_23', '014_U_24', '014_D_22', '014_D_23', '014_D_24', '015_U_36', '015_U_37', '015_U_38', '015_D_18', '015_D_19', '015_D_20', '019_U_30', '019_U_31', '019_U_32', '019_D_18', '019_D_19', '019_D_20', '021_U_24', '021_U_25', '021_U_26', '021_D_18', '021_D_19', '037_U_20', '037_U_21', '037_U_22', '037_U_23', '037_D_24', '037_D_25', '037_D_26', '037_D_27', '038_U_22', '038_U_23', '038_U_24', '038_U_25', '038_D_23', '038_D_24', '038_D_25', '038_D_26']",8,上行,24,117.990527,37.457984,False,"['008_U_25', '008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_25,滨澳线缆,"['001_U_16', '001_U_17', '001_D_23', '001_D_24', '002_U_15', '002_U_16', '002_D_28', '002_D_29', '002_D_30', '005_U_45', '005_U_46', '005_D_27', '005_D_28', '008_U_24', '008_D_19', '008_D_20', '014_U_23', '014_U_24', '014_D_22', '014_D_23', '015_U_37', '015_U_38', '015_D_18', '015_D_19', '019_U_31', '019_U_32', '019_D_18', '019_D_19', '021_U_25', '021_U_26', '021_D_18', '037_U_22', '037_U_23', '037_D_24', '037_D_25', '037_D_26', '038_U_24', '038_U_25', '038_D_23', '038_D_24', '038_D_25']",8,上行,25,117.992525,37.455062,False,"['008_U_26', '008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_26,皂刘家,"['001_U_18', '001_U_19', '001_D_21', '001_D_22', '002_U_17', '002_U_18', '002_D_26', '002_D_27', '005_U_47', '005_U_48', '005_D_25', '005_D_26', '008_U_27', '008_D_17', '008_D_18', '014_U_25', '014_U_26', '014_D_20', '014_D_21', '015_U_39', '015_U_40', '015_D_16', '015_D_17', '019_U_33', '019_U_34', '019_D_16', '019_D_17', '021_U_27', '021_U_28', '021_D_16', '021_D_17', '037_U_24', '037_U_25', '037_D_22', '037_D_23', '038_U_26', '038_U_27', '038_D_21', '038_D_22', '112_U_30', '112_U_31', '112_D_02', '112_D_03']",8,上行,26,117.997273,37.448192,False,"['008_U_27', '008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_27,岩浩公司,"['001_U_18', '001_U_19', '001_U_20', '001_D_20', '001_D_21', '001_D_22', '002_U_17', '002_U_18', '002_U_19', '002_D_25', '002_D_26', '002_D_27', '005_U_47', '005_U_48', '005_U_49', '005_D_24', '005_D_25', '005_D_26', '008_U_26', '008_U_28', '008_D_16', '008_D_17', '008_D_18', '014_U_25', '014_U_26', '014_U_27', '014_D_19', '014_D_20', '014_D_21', '015_U_39', '015_U_40', '015_U_41', '015_D_15', '015_D_16', '015_D_17', '019_U_33', '019_U_34', '019_U_35', '019_D_15', '019_D_16', '019_D_17', '021_U_27', '021_U_28', '021_U_29', '021_D_15', '021_D_16', '021_D_17', '037_U_24', '037_U_25', '037_U_26', '037_D_21', '037_D_22', '037_D_23', '038_U_26', '038_U_27', '038_U_28', '038_D_20', '038_D_21', '038_D_22', '112_U_29', '112_U_30', '112_U_31', '112_D_02', '112_D_03', '112_D_04']",8,上行,27,118.000272,37.443803,False,"['008_U_28', '008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_28,滨岭商城,"['001_U_19', '001_U_20', '001_U_21', '001_D_19', '001_D_20', '001_D_21', '002_U_18', '002_U_19', '002_U_20', '002_D_24', '002_D_25', '002_D_26', '005_U_48', '005_U_49', '005_U_50', '005_D_23', '005_D_24', '005_D_25', '008_U_27', '008_U_29', '008_D_15', '008_D_16', '008_D_17', '014_U_26', '014_U_27', '014_U_28', '014_D_18', '014_D_19', '014_D_20', '015_U_40', '015_U_41', '015_U_42', '015_D_14', '015_D_15', '015_D_16', '019_U_34', '019_U_35', '019_U_36', '019_D_14', '019_D_15', '019_D_16', '021_U_28', '021_U_29', '021_U_30', '021_D_14', '021_D_15', '021_D_16', '037_U_25', '037_U_26', '037_U_27', '037_D_20', '037_D_21', '037_D_22', '038_U_27', '038_U_28', '038_U_29', '038_D_19', '038_D_20', '038_D_21', '112_U_28', '112_U_29', '112_U_30', '112_U_31', '112_D_02', '112_D_03', '112_D_04', '112_D_05']",8,上行,28,118.003753,37.439484,False,"['008_U_29', '008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_29,东方红路口,"['001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_D_18', '001_D_19', '001_D_20', '002_U_19', '002_U_20', '002_U_21', '002_U_22', '002_D_23', '002_D_24', '002_D_25', '005_U_49', '005_U_50', '005_U_51', '005_U_52', '005_D_22', '005_D_23', '005_D_24', '008_U_28', '008_U_30', '008_U_31', '008_D_14', '008_D_15', '008_D_16', '014_U_27', '014_U_28', '014_U_29', '014_U_30', '014_D_17', '014_D_18', '014_D_19', '015_U_41', '015_U_42', '015_U_43', '015_U_44', '015_D_13', '015_D_14', '015_D_15', '019_U_35', '019_U_36', '019_U_37', '019_U_38', '019_D_13', '019_D_14', '019_D_15', '021_U_29', '021_U_30', '021_U_31', '021_U_32', '021_D_13', '021_D_14', '021_D_15', '037_U_26', '037_U_27', '037_U_28', '037_U_29', '037_D_19', '037_D_20', '037_D_21', '038_U_28', '038_U_29', '038_U_30', '038_U_31', '038_D_18', '038_D_19', '038_D_20', '112_U_29', '112_D_04']",8,上行,29,118.009008,37.433836,False,"['008_U_30', '008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_30,创业大厦,"['001_U_21', '001_U_22', '001_U_23', '001_D_18', '002_U_20', '002_U_21', '002_U_22', '002_D_23', '005_U_50', '005_U_51', '005_U_52', '005_D_22', '008_U_29', '008_U_31', '008_D_14', '014_U_28', '014_U_29', '014_U_30', '014_D_17', '015_U_42', '015_U_43', '015_U_44', '015_D_13', '019_U_36', '019_U_37', '019_U_38', '019_D_13', '021_U_30', '021_U_31', '021_U_32', '021_D_13', '037_U_27', '037_U_28', '037_U_29', '037_D_19', '038_U_29', '038_U_30', '038_U_31', '038_D_18']",8,上行,30,118.011547,37.430997,True,"['008_U_31', '008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_31,城市花园,"['001_U_22', '001_U_23', '001_D_17', '001_D_18', '002_U_21', '002_U_22', '002_D_22', '002_D_23', '005_U_51', '005_U_52', '005_D_21', '005_D_22', '008_U_30', '008_D_13', '008_D_14', '014_U_29', '014_U_30', '014_D_16', '014_D_17', '015_U_43', '015_U_44', '015_D_12', '015_D_13', '019_U_37', '019_U_38', '019_D_12', '019_D_13', '021_U_31', '021_U_32', '021_D_12', '021_D_13', '037_U_28', '037_U_29', '037_D_18', '037_D_19', '038_U_30', '038_U_31', '038_D_17', '038_D_18', '105_U_33']",8,上行,31,118.013874,37.428323,True,"['008_U_32', '008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
008_U_32,远方汽贸城,"['001_U_24', '001_D_16', '002_U_23', '002_D_21', '005_U_53', '005_D_20', '008_D_12', '014_U_31', '014_D_15', '015_U_45', '015_D_11', '019_U_39', '019_D_11', '021_U_33', '021_D_11', '037_U_30', '037_D_17', '038_U_32', '038_D_16', '105_U_32', '105_U_33', '105_D_13']",8,上行,32,118.016912,37.423375,True,"['008_U_33', '008_U_34', '008_U_35', '008_U_36', '008_U_37', '008_U_38', '008_U_39', '008_U_40', '008_U_41', '008_U_42', '008_U_43']"
